seed,best_model,best_val_auc,best_sensitivity,best_specificity,best_cv_auc,selected_features
177,Random Forest,0.5603061986557133,0.8076923076923077,0.42718446601941745,0.6423076923076924,"POE21, POE26, POE25..."
68,Random Forest,0.5558252427184467,0.6923076923076923,0.5533980582524272,0.6346153846153847,"POE25, POE26, POE21..."
63,Random Forest,0.5533980582524273,0.8461538461538461,0.36893203883495146,0.6166666666666666,"POE25, POE21, POE26..."
148,Random Forest,0.5505974607916355,0.7692307692307693,0.49514563106796117,0.5568376068376069,"POE25, POE26, POE21..."
93,Random Forest,0.5459297983569829,0.6538461538461539,0.5631067961165048,0.6525641025641026,"POE26, POE21, POE20..."
79,Random Forest,0.5416355489171023,0.8076923076923077,0.4077669902912621,0.6226495726495725,"POE21, POE26, POE25..."
175,Random Forest,0.5401418969380134,0.5384615384615384,0.6601941747572816,0.5653846153846154,"POE21, POE26, POE15.C16..."
149,Random Forest,0.5326736370425691,0.8076923076923077,0.4174757281553398,0.47628205128205126,"POE25, POE21, POE20..."
75,XGBoost,0.5324869305451829,0.8076923076923077,0.4563106796116505,0.48782051282051275,"POE25, POE21, POE15.C16..."
13,XGBoost,0.5324869305451829,0.8076923076923077,0.4563106796116505,0.538888888888889,"POE25, POE15.C16, POE21..."
72,SVM Linear,0.5317401045556385,0.8846153846153846,0.3300970873786408,0.7012820512820512,"POE26, POE29.C16, POE21..."
106,SVM Linear,0.5317401045556385,0.8846153846153846,0.3300970873786408,0.6158119658119657,"POE29.C16, POE21, POE26..."
77,XGBoost,0.5280059746079164,0.7692307692307693,0.4368932038834951,0.5897435897435898,"POE25, POE21, POE17..."
16,Random Forest,0.5190440627333831,0.8076923076923077,0.4174757281553398,0.6111111111111112,"POE25, POE20, POE21..."
50,Gradient Boosting,0.5106422703510082,0.8076923076923077,0.36893203883495146,0.5055555555555555,"POE25, POE21, POE20..."
82,XGBoost,0.5080283793876027,0.8846153846153846,0.2912621359223301,0.5478632478632479,"POE25, POE21, POE20..."
48,XGBoost,0.5080283793876027,0.8846153846153846,0.2912621359223301,0.4923076923076922,"POE25, POE21, POE20..."
157,XGBoost,0.5080283793876027,0.8846153846153846,0.2912621359223301,0.49423076923076925,"POE25, POE21, POE20..."
111,XGBoost,0.5080283793876027,0.8846153846153846,0.2912621359223301,0.5837606837606837,"POE25, POE21, POE20..."
191,XGBoost,0.5080283793876027,0.8846153846153846,0.2912621359223301,0.5352564102564102,"POE25, POE21, POE20..."
55,XGBoost,0.5080283793876027,0.8846153846153846,0.2912621359223301,0.5897435897435896,"POE25, POE21, POE20..."
57,XGBoost,0.5080283793876027,0.8846153846153846,0.2912621359223301,0.5724358974358974,"POE25, POE21, POE20..."
166,XGBoost,0.5080283793876027,0.8846153846153846,0.2912621359223301,0.5982905982905982,"POE25, POE21, POE20..."
